"cz","Name","Fraction_College_Graduates_in_2012-16"
"cz3001","Kosciusko, MS",0.1324
"cz4902","Dyersburg, TN",0.1323
"cz37602","Winnemucca, NV",0.1321
"cz32401","Big Spring, TX",0.132
"cz4401","London, KY",0.1316
"cz11203","Big Stone Gap, VA",0.1309
"cz24702","Mexico, MO",0.1307
"cz34106","Nome, AK",0.1303
"cz3002","Yazoo City, MS",0.1301
"cz602","Galax, NC & VA",0.1296
"cz5100","Corinth, MS & TN",0.1293
"cz9001","Vidalia, GA",0.1291
"cz8502","Cordele, GA",0.129
"cz6301","McMinnville, TN",0.1288
"cz4301","Stuttgart, AR",0.1287
"cz2600","Roanoke Rapids, NC & VA",0.1282
"cz34113","Barrow, AK",0.1282
"cz402","Martinsville, VA",0.128
"cz24600","Farmington, MO",0.1275
"cz30801","Hobbs, NM & TX",0.127
"cz34002","Idabel, AR & OK",0.126
"cz8601","Waycross, GA",0.1258
"cz30702","Santa Rosa, NM",0.1256
"cz10301","Eufaula, AL & GA",0.1255
"cz3902","Lake Providence, LA",0.1243
"cz35500","Gallup, AZ & NM",0.1224
"cz4502","Hazard, KY",0.122
"cz31402","Pecos, TX",0.1213
"cz4903","Lexington, TN",0.121
"cz37902","Reno, NV",0.1206
"cz10600","Jasper, AL",0.1205
"cz1702","Henderson, NC",0.1201
"cz34101","Sand Point, AK",0.1194
"cz3201","Jena, LA",0.1187
"cz25800","Blytheville, AR & MO",0.1184
"cz16902","Spencer, WV",0.1181
"cz4501","West Liberty, KY",0.1174
"cz4602","Somerset, KY & TN",0.1168
"cz32306","Eagle Pass, TX",0.1165
"cz301","Middlesborough, KY & TN",0.1147
"cz17000","Pikeville, KY & WV",0.1134
"cz11002","Atmore, AL",0.1131
"cz34112","Bethel, AK",0.1085
"cz8501","Fitzgerald, GA",0.1043
"cz1301","Bennettsville, SC",0.1041
"cz34105","Kotzebue, AK",0.1032
"cz31302","Beeville, TX",0.1014
"cz31403","Fort Stockton, TX",0.1006
"cz31501","Crystal City, TX",0.0977
"cz31502","Pearsall, TX",0.0935
"cz30605","Van Horn, TX",0.0766
"cz11202","Welch, WV",0.067
