SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,LOCALE_NAME,EntityType,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT,HOMELESS_ENROLLMENT,MIGRANT_ENROLLMENT,AYP_STATUS,AYP_PHASE,GRADE_3_MATH_TESTED,GRADE_3_MATH_PROFICIENT,GRADE_3_MATH_AVG_SS,GRADE_4_MATH_TESTED,GRADE_4_MATH_PROFICIENT,GRADE_4_MATH_AVG_SS,GRADE_5_MATH_TESTED,GRADE_5_MATH_PROFICIENT,GRADE_5_MATH_AVG_SS,GRADE_6_MATH_TESTED,GRADE_6_MATH_PROFICIENT,GRADE_6_MATH_AVG_SS,GRADE_7_MATH_TESTED,GRADE_7_MATH_PROFICIENT,GRADE_7_MATH_AVG_SS,GRADE_8_MATH_TESTED,GRADE_8_MATH_PROFICIENT,GRADE_8_MATH_AVG_SS,GRADE_3_READING_TESTED,GRADE_3_READING_PROFICIENT,GRADE_3_READING_AVG_SS,GRADE_4_READING_TESTED,GRADE_4_READING_PROFICIENT,GRADE_4_READING_AVG_SS,GRADE_5_READING_TESTED,GRADE_5_READING_PROFICIENT,GRADE_5_READING_AVG_SS,GRADE_6_READING_TESTED,GRADE_6_READING_PROFICIENT,GRADE_6_READING_AVG_SS,GRADE_7_READING_TESTED,GRADE_7_READING_PROFICIENT,GRADE_7_READING_AVG_SS,GRADE_8_READING_TESTED,GRADE_8_READING_PROFICIENT,GRADE_8_READING_AVG_SS,GRADE_5_SCIENCE_TESTED,GRADE_5_SCIENCE_PROFICIENT,GRADE_5_SCIENCE_AVG_SS,GRADE_8_SCIENCE_TESTED,GRADE_8_SCIENCE_PROFICIENT,GRADE_8_SCIENCE_AVG_SS,GRADE_6_SOCIAL_STUDIES_TESTED,GRADE_6_SOCIAL_STUDIES_PROFICIENT,GRADE_6_SOCIAL_STUDIES_AVG_SS,GRADE_9_SOCIAL_STUDIES_TESTED,GRADE_9_SOCIAL_STUDIES_PROFICIENT,GRADE_9_SOCIAL_STUDIES_AVG_SS,GRADE_11_MATH_TESTED,GRADE_11_MATH_PROFICIENT,GRADE_11_MATH_AVG_SS,GRADE_11_READING_TESTED,GRADE_11_READING_PROFICIENT,GRADE_11_READING_AVG_SS,GRADE_11_WRITING_TESTED,GRADE_11_WRITING_PROFICIENT,GRADE_11_WRITING_AVG_SS,GRADE_11_SCIENCE_TESTED,GRADE_11_SCIENCE_PROFICIENT,GRADE_11_SCIENCE_AVG_SS,GRADE_11_SOCIAL_STUDIES_TESTED,GRADE_11_SOCIAL_STUDIES_PROFICIENT,GRADE_11_SOCIAL_STUDIES_AVG_SS,GRADE_11_MATH_PERCENT_READY,GRADE_11_READING_PERCENT_READY,GRADE_11_SCIENCE_PERCENT_READY,GRADE_11_ENGLISH_PERCENT_READY,GRADE_11_ALL_SUBJECT_PERCENT_READY,COHORT_4_YEAR,GRADUATION_RATE_4_YEAR,DROPOUT_RATE_4_YEAR,GRADUATES_4_YEAR,DROPOUTS_4_YEAR,CONTINUING_4_YEAR,OTHER_COMPLETER_4_YEAR,COHORT_5_YEAR,GRADUATION_RATE_5_YEAR,DROPOUT_RATE_5_YEAR,GRADUATES_5_YEAR,DROPOUTS_5_YEAR,CONTINUING_5_YEAR,OTHER_COMPLETER_5_YEAR,COHORT_6_YEAR,GRADUATION_RATE_6_YEAR,DROPOUT_RATE_6_YEAR,GRADUATES_6_YEAR,DROPOUTS_6_YEAR,CONTINUING_6_YEAR,OTHER_COMPLETER_6_YEAR
"16 - 17 School Year","82","Wayne RESA",,,,,,"ISD","271886","138938","132948","658","10157","110675","22330","169","122174","5723","21255","20759","20588","20886","21119","21069","20662","20804","20885","22933","21312","19691","18504","162154","33558","34187","0","0","Not Applicable","Not Applicable","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82921","Academy for Business and Technology",,,,"PSA District","646","348","298","3","0","524","77","0","30","12","53","56","51","59","42","64","36","48","53","29","68","42","44","497","100","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","2017","74.4700","10.6400","35","5","4","3","2016","85.4800","11.2900","53","7","0","2","2015","78.6900","18.0300","48","11","0","2"
"16 - 17 School Year","82","Wayne RESA","82921","Academy for Business and Technology","09332","Academy for Business and Technology Elementary","City: Midsize","PSA School","325","165","160","3","0","241","50","0","20","11","53","56","51","59","42","64","0","0","0","0","0","0","0","227","36","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82921","Academy for Business and Technology","08435","Academy for Business and Technology High School","Suburb: Large","PSA School","321","183","138","0","0","283","27","0","10","1","0","0","0","0","0","0","36","48","53","29","68","42","44","270","64","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","2017","73.9100","10.8700","34","5","4","3","2016","86.8900","9.8400","53","6","0","2","2015","81.0300","15.5200","47","9","0","2"
"16 - 17 School Year","82","Wayne RESA","82921","Academy for Business and Technology","00000","Administrative Unit","Suburb: Large",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82961","Academy of Inkster",,,,"PSA District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82961","Academy of Inkster","08729","Academy of Inkster","Suburb: Large","PSA School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82961","Academy of Inkster","00000","Administrative Unit","Suburb: Large",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82738","Academy of International Studies",,,,"PSA District","235","126","109","0","11","24","0","1","198","1","41","26","33","38","27","21","23","15","11","0","0","0","0","231","15","199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82738","Academy of International Studies","01168","Academy of International Studies","Suburb: Large","PSA School","235","126","109","0","11","24","0","1","198","1","41","26","33","38","27","21","23","15","11","0","0","0","0","231","15","199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82738","Academy of International Studies","00000","Administrative Unit","Suburb: Large",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82912","Academy of Westland",,,,"PSA District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82912","Academy of Westland","08684","Academy Of Detroit--Westland","Not Specified","PSA School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82912","Academy of Westland","08334","Academy of Westland","Suburb: Large","PSA School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82912","Academy of Westland","00000","Administrative Unit","Suburb: Large",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82998","ACE Academy (SDA)",,,,"PSA District","163","160","3","0","0","122","7","0","33","1","0","0","0","0","0","0","2","2","1","31","60","48","19","163","44","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","2017",,,"0","0","0","0","2016",,,"0","0","0","0","2015",,,"0","0","0","0"
"16 - 17 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","09823","ACE Academy (SDA) - Calumet Center","Suburb: Large","PSA School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","09824","ACE Academy (SDA) - Eliot Center","Not Specified","PSA School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","09850","ACE Academy (SDA) -Glendale, Lincoln, Woodward, Jefferson","Suburb: Large","PSA School","162","159","3","0","0","122","7","0","32","1","0","0","0","0","0","0","2","2","1","31","59","48","19","162","44","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","2017","4.2600","38.3000","2","18","27","0","2016","3.3300","86.6700","1","26","3","0","2015","10.0000","90.0000","2","18","0","0"
"16 - 17 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","03045","ACE Academy - Jefferson site","City: Large","PSA School","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
"16 - 17 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","02308","ACE Academy - Woodward Place","Not Specified","PSA School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.0000","0.0000","0.0000","0.0000","0.0000",,,,,,,,,,,,,,,,,,,,,
