SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","All Students","90","309","279","2143","N/A","N/A","N/A","399","2422","2821","3.2","11.0","9.9","76.0","N/A","N/A","N/A","14.10","85.90","2075.6000000000000000","20.3000000000000000","N/A","2036","2151","2062.00","2072.00","2088.00"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Asian","10","22","*","<3","N/A","N/A","N/A","32","40","72","13.9","30.6","*","<=5%","N/A","N/A","N/A","44.40","55.60","2101.2000000000000000","20.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Asian","11","16","15","31","N/A","N/A","N/A","27","46","73","15.1","21.9","20.5","42.5","N/A","N/A","N/A","37.00","63.00","2093.4000000000000000","22.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","English Learners","8","32","239","143","N/A","N/A","N/A","40","382","422","1.9","7.6","56.6","33.9","N/A","N/A","N/A","9.50","90.50","2078.2000000000000000","17.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","65","326","1347","637","N/A","N/A","N/A","391","1984","2375","2.7","13.7","56.7","26.8","N/A","N/A","N/A","16.50","83.50","2082.5000000000000000","19.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","<3","*","118","112","N/A","N/A","N/A","5","230","235","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2071.3000000000000000","13.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","45","236","1202","637","N/A","N/A","N/A","281","1839","2120","2.1","11.1","56.7","30.0","N/A","N/A","N/A","13.30","86.70","2080.3000000000000000","18.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","28","122","384","143","N/A","N/A","N/A","150","527","677","4.1","18.0","56.7","21.1","N/A","N/A","N/A","22.20","77.80","2086.6000000000000000","20.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Male","35","159","664","383","N/A","N/A","N/A","194","1047","1241","2.8","12.8","53.5","30.9","N/A","N/A","N/A","15.60","84.40","2081.0000000000000000","19.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Female","38","199","922","397","N/A","N/A","N/A","237","1319","1556","2.4","12.8","59.3","25.5","N/A","N/A","N/A","15.20","84.80","2082.5000000000000000","18.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","<3","<3","11","222","N/A","N/A","N/A","3","233","236","<=5%","<=5%","<=5%","*","N/A","N/A","N/A","<=5%",">=95%","2063.3000000000000000","13.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","33","98","97","451","N/A","N/A","N/A","131","548","679","4.9","14.4","14.3","66.4","N/A","N/A","N/A","19.30","80.70","2081.0000000000000000","21.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","89","307","268","1921","N/A","N/A","N/A","396","2189","2585","3.4","11.9","10.4","74.3","N/A","N/A","N/A","15.30","84.70","2076.7000000000000000","20.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","73","358","1586","780","N/A","N/A","N/A","431","2366","2797","2.6","12.8","56.7","27.9","N/A","N/A","N/A","15.40","84.60","2081.9000000000000000","19.2000000000000000","N/A","2022","2162","2068.00","2078.00","2091.00"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","57","211","182","1692","N/A","N/A","N/A","268","1874","2142","2.7","9.9","8.5","79.0","N/A","N/A","N/A","12.50","87.50","2073.9000000000000000","19.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Black or African American","63","230","225","1683","N/A","N/A","N/A","293","1908","2201","2.9","10.4","10.2","76.5","N/A","N/A","N/A","13.30","86.70","2075.5000000000000000","19.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Hispanic of Any Race","11","49","32","386","N/A","N/A","N/A","60","418","478","2.3","10.3","6.7","80.8","N/A","N/A","N/A","12.60","87.40","2072.5000000000000000","20.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","White","3","11","5","35","N/A","N/A","N/A","14","40","54","<=10%","*","<=10%","*","N/A","N/A","N/A","25.90","74.10","2079.4000000000000000","25.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","46","257","1270","609","N/A","N/A","N/A","303","1879","2182","2.1","11.8","58.2","27.9","N/A","N/A","N/A","13.90","86.10","2081.1000000000000000","18.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Hispanic of Any Race","13","63","252","147","N/A","N/A","N/A","76","399","475","2.7","13.3","53.1","30.9","N/A","N/A","N/A","16.00","84.00","2081.5000000000000000","19.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","White","<3","*","19","19","N/A","N/A","N/A","15","38","53","<=10%","*","35.8","35.8","N/A","N/A","N/A","28.30","71.70","2085.7000000000000000","25.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Male","47","148","108","949","N/A","N/A","N/A","195","1057","1252","3.8","11.8","8.6","75.8","N/A","N/A","N/A","15.60","84.40","2074.9000000000000000","21.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Female","43","161","171","1194","N/A","N/A","N/A","204","1365","1569","2.7","10.3","10.9","76.1","N/A","N/A","N/A","13.00","87.00","2076.2000000000000000","19.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","73","353","1468","668","N/A","N/A","N/A","426","2136","2562","2.8","13.8","57.3","26.1","N/A","N/A","N/A","16.60","83.40","2082.8000000000000000","19.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","English Learners","6","31","20","370","N/A","N/A","N/A","37","390","427","1.4","7.3","4.7","86.7","N/A","N/A","N/A","8.70","91.30","2069.5000000000000000","18.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","84","278","259","1773","N/A","N/A","N/A","362","2032","2394","3.5","11.6","10.8","74.1","N/A","N/A","N/A","15.10","84.90","2076.7000000000000000","20.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","<3","<3","*","N/A","N/A","N/A","<3","*","74","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2061.2000000000000000","12.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Hispanic of Any Race","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Male","<3","<3","<3","*","N/A","N/A","N/A","<3","*","43","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2060.0000000000000000","13.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Female","<3","<3","<3","*","N/A","N/A","N/A","<3","*","32","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2064.3000000000000000","13.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","<3","3","<3","*","N/A","N/A","N/A","3","61","64","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2062.5000000000000000","14.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","All Students","<3","3","<3","*","N/A","N/A","N/A","3","72","75","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2061.8000000000000000","13.6000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","10","<=50%","<=50%",">=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2072.3000000000000000","6.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","3","<3","*","N/A","N/A","N/A","3","72","75","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2061.8000000000000000","13.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","<3","<3","<3","*","N/A","N/A","N/A","<3","*","11","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2058.2000000000000000","10.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","<3","<3","*","*","N/A","N/A","N/A","<3","*","63","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2075.7000000000000000","11.5000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Hispanic of Any Race","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","<3","<3","*","*","N/A","N/A","N/A","<3","*","56","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2076.2000000000000000","11.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","<3","<3","*","*","N/A","N/A","N/A","<3","*","62","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2074.8000000000000000","9.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","53","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2076.3000000000000000","12.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Male","<3","<3","*","*","N/A","N/A","N/A","<3","*","37","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2073.5000000000000000","8.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Female","<3","<3","*","*","N/A","N/A","N/A","<3","*","26","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2078.8000000000000000","14.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","63","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2075.7000000000000000","11.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","3","<3","*","N/A","N/A","N/A","3","64","67","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2062.3000000000000000","14.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","<3","<3","*","*","N/A","N/A","N/A","<3","*","21","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2073.0000000000000000","9.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","<3","*","<3","*","N/A","N/A","N/A","4","14","18","<=20%","*","<=20%","*","N/A","N/A","N/A","22.20","77.80","2076.6000000000000000","19.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","18","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2074.3000000000000000","9.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","*","<3","*","N/A","N/A","N/A","4","18","22","<=20%","<=20%","<=20%","*","N/A","N/A","N/A","<=20%",">=80%","2074.1000000000000000","18.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Asian","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Male","<3","3","<3","*","N/A","N/A","N/A","3","11","14","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2076.0000000000000000","19.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Female","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","23","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2074.0000000000000000","11.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","<3","<3","*","*","N/A","N/A","N/A","<3","*","22","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2073.8000000000000000","11.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Asian","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Male","<3","<3","*","*","N/A","N/A","N/A","<3","*","14","<=50%","<=50%","<=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2074.9000000000000000","11.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
